"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","IsChild","Is_Married"
"123",0,"2","male",32.5,1,0,30.0708,"C","no","cant_say"
"124",1,"2","female",32.5,0,0,13,"S","no","unmarried"
"125",0,"1","male",54,0,1,77.2875,"S","no","cant_say"
"126",1,"3","male",12,1,0,11.2417,"C","yes","unmarried"
"127",0,"3","male",32.8644278606965,0,0,7.75,"Q","no","cant_say"
"128",1,"3","male",24,0,0,7.1417,"S","no","cant_say"
"129",1,"3","female",27.4217391304348,1,1,22.3583,"C","no","unmarried"
"130",0,"3","male",45,0,0,6.975,"S","no","cant_say"
"131",0,"3","male",33,0,0,7.8958,"C","no","cant_say"
"132",0,"3","male",20,0,0,7.05,"S","no","cant_say"
"133",0,"3","female",47,1,0,14.5,"S","no","married"
"134",1,"2","female",29,1,0,26,"S","no","married"
"135",0,"2","male",25,0,0,13,"S","no","cant_say"
"136",0,"2","male",23,0,0,15.0458,"C","no","cant_say"
"137",1,"1","female",19,0,2,26.2833,"S","no","unmarried"
"138",0,"1","male",37,1,0,53.1,"S","no","cant_say"
"139",0,"3","male",16,0,0,9.2167,"S","no","cant_say"
"140",0,"1","male",24,0,0,79.2,"C","no","cant_say"
"141",0,"3","female",27.4217391304348,0,2,15.2458,"C","no","married"
"142",1,"3","female",22,0,0,7.75,"S","no","unmarried"
"143",1,"3","female",24,1,0,15.85,"S","no","married"
"144",0,"3","male",19,0,0,6.75,"Q","no","cant_say"
"145",0,"2","male",18,0,0,11.5,"S","no","cant_say"
"146",0,"2","male",19,1,1,36.75,"S","no","cant_say"
"147",1,"3","male",27,0,0,7.7958,"S","no","cant_say"
"148",0,"3","female",9,2,2,34.375,"S","no","unmarried"
"149",0,"2","male",36.5,0,2,26,"S","no","cant_say"
"150",0,"2","male",42,0,0,13,"S","no","cant_say"
"151",0,"2","male",51,0,0,12.525,"S","no","cant_say"
"152",1,"1","female",22,1,0,66.6,"S","no","married"
"153",0,"3","male",55.5,0,0,8.05,"S","no","cant_say"
"154",0,"3","male",40.5,0,2,14.5,"S","no","cant_say"
"155",0,"3","male",32.8644278606965,0,0,7.3125,"S","no","cant_say"
"156",0,"1","male",51,0,1,61.3792,"C","no","cant_say"
"157",1,"3","female",16,0,0,7.7333,"Q","no","unmarried"
"158",0,"3","male",30,0,0,8.05,"S","no","cant_say"
"159",0,"3","male",32.8644278606965,0,0,8.6625,"S","no","cant_say"
"160",0,"3","male",4.49264705882353,8,2,69.55,"S","yes","unmarried"
"161",0,"3","male",44,0,1,16.1,"S","no","cant_say"
"162",1,"2","female",40,0,0,15.75,"S","no","married"
"163",0,"3","male",26,0,0,7.775,"S","no","cant_say"
"164",0,"3","male",17,0,0,8.6625,"S","no","cant_say"
"165",0,"3","male",1,4,1,39.6875,"S","yes","unmarried"
"166",1,"3","male",9,0,2,20.525,"S","yes","unmarried"
"167",1,"1","female",27.4217391304348,0,1,55,"S","no","married"
"168",0,"3","female",45,1,4,27.9,"S","no","married"
"169",0,"1","male",32.8644278606965,0,0,25.925,"S","no","cant_say"
"170",0,"3","male",28,0,0,56.4958,"S","no","cant_say"
"171",0,"1","male",61,0,0,33.5,"S","no","cant_say"
"172",0,"3","male",4,4,1,29.125,"Q","yes","unmarried"
"173",1,"3","female",1,1,1,11.1333,"S","no","unmarried"
"174",0,"3","male",21,0,0,7.925,"S","no","cant_say"
"175",0,"1","male",56,0,0,30.6958,"C","no","cant_say"
"176",0,"3","male",18,1,1,7.8542,"S","no","cant_say"
"177",0,"3","male",4.49264705882353,3,1,25.4667,"S","yes","unmarried"
"178",0,"1","female",50,0,0,28.7125,"C","no","unmarried"
"179",0,"2","male",30,0,0,13,"S","no","cant_say"
"180",0,"3","male",36,0,0,0,"S","no","cant_say"
"181",0,"3","female",27.4217391304348,8,2,69.55,"S","no","unmarried"
"182",0,"2","male",32.8644278606965,0,0,15.05,"C","no","cant_say"
"183",0,"3","male",9,4,2,31.3875,"S","yes","unmarried"
"184",1,"2","male",1,2,1,39,"S","yes","unmarried"
"185",1,"3","female",4,0,2,22.025,"S","no","unmarried"
"186",0,"1","male",32.8644278606965,0,0,50,"S","no","cant_say"
"187",1,"3","female",27.4217391304348,1,0,15.5,"Q","no","married"
"188",1,"1","male",45,0,0,26.55,"S","no","cant_say"
"189",0,"3","male",40,1,1,15.5,"Q","no","cant_say"
"190",0,"3","male",36,0,0,7.8958,"S","no","cant_say"
"191",1,"2","female",32,0,0,13,"S","no","married"
"192",0,"2","male",19,0,0,13,"S","no","cant_say"
"193",1,"3","female",19,1,0,7.8542,"S","no","unmarried"
"194",1,"2","male",3,1,1,26,"S","yes","unmarried"
"195",1,"1","female",44,0,0,27.7208,"C","no","married"
"197",0,"3","male",32.8644278606965,0,0,7.75,"Q","no","cant_say"
"198",0,"3","male",42,0,1,8.4042,"S","no","cant_say"
"199",1,"3","female",27.4217391304348,0,0,7.75,"Q","no","unmarried"
"200",0,"2","female",24,0,0,13,"S","no","unmarried"
"201",0,"3","male",28,0,0,9.5,"S","no","cant_say"
"202",0,"3","male",32.8644278606965,8,2,69.55,"S","no","cant_say"
"203",0,"3","male",34,0,0,6.4958,"S","no","cant_say"
"204",0,"3","male",45.5,0,0,7.225,"C","no","cant_say"
"205",1,"3","male",18,0,0,8.05,"S","no","cant_say"
"206",0,"3","female",2,0,1,10.4625,"S","no","unmarried"
"207",0,"3","male",32,1,0,15.85,"S","no","cant_say"
"208",1,"3","male",26,0,0,18.7875,"C","no","cant_say"
"209",1,"3","female",16,0,0,7.75,"Q","no","unmarried"
"210",1,"1","male",40,0,0,31,"C","no","cant_say"
"211",0,"3","male",24,0,0,7.05,"S","no","cant_say"
"212",1,"2","female",35,0,0,21,"S","no","unmarried"
"213",0,"3","male",22,0,0,7.25,"S","no","cant_say"
"214",0,"2","male",30,0,0,13,"S","no","cant_say"
"215",0,"3","male",32.8644278606965,1,0,7.75,"Q","no","cant_say"
"217",1,"3","female",27,0,0,7.925,"S","no","unmarried"
"218",0,"2","male",42,1,0,27,"S","no","cant_say"
"219",1,"1","female",32,0,0,76.2917,"C","no","unmarried"
"220",0,"2","male",30,0,0,10.5,"S","no","cant_say"
"221",1,"3","male",16,0,0,8.05,"S","no","cant_say"
"222",0,"2","male",27,0,0,13,"S","no","cant_say"
"223",0,"3","male",51,0,0,8.05,"S","no","cant_say"
"224",0,"3","male",32.8644278606965,0,0,7.8958,"S","no","cant_say"
"225",1,"1","male",38,1,0,90,"S","no","cant_say"
"226",0,"3","male",22,0,0,9.35,"S","no","cant_say"
"227",1,"2","male",19,0,0,10.5,"S","no","cant_say"
"228",0,"3","male",20.5,0,0,7.25,"S","no","cant_say"
"229",0,"2","male",18,0,0,13,"S","no","cant_say"
"230",0,"3","female",27.4217391304348,3,1,25.4667,"S","no","unmarried"
"231",1,"1","female",35,1,0,83.475,"S","no","married"
"232",0,"3","male",29,0,0,7.775,"S","no","cant_say"
"233",0,"2","male",59,0,0,13.5,"S","no","cant_say"
"234",1,"3","female",5,4,2,31.3875,"S","no","unmarried"
"235",0,"2","male",24,0,0,10.5,"S","no","cant_say"
"236",0,"3","female",27.4217391304348,0,0,7.55,"S","no","unmarried"
"237",0,"2","male",44,1,0,26,"S","no","cant_say"
"238",1,"2","female",8,0,2,26.25,"S","no","unmarried"
"239",0,"2","male",19,0,0,10.5,"S","no","cant_say"
"240",0,"2","male",33,0,0,12.275,"S","no","cant_say"
"241",0,"3","female",27.4217391304348,1,0,14.4542,"C","no","unmarried"
"242",1,"3","female",27.4217391304348,1,0,15.5,"Q","no","unmarried"
"243",0,"2","male",29,0,0,10.5,"S","no","cant_say"
"244",0,"3","male",22,0,0,7.125,"S","no","cant_say"
"245",0,"3","male",30,0,0,7.225,"C","no","cant_say"
"246",0,"1","male",44,2,0,90,"Q","no","cant_say"
"247",0,"3","female",25,0,0,7.775,"S","no","unmarried"
"248",1,"2","female",24,0,2,14.5,"S","no","married"
"249",1,"1","male",37,1,1,52.5542,"S","no","cant_say"
"250",0,"2","male",54,1,0,26,"S","no","cant_say"
"251",0,"3","male",32.8644278606965,0,0,7.25,"S","no","cant_say"
"252",0,"3","female",29,1,1,10.4625,"S","no","married"
"253",0,"1","male",62,0,0,26.55,"S","no","cant_say"
"254",0,"3","male",30,1,0,16.1,"S","no","cant_say"
"255",0,"3","female",41,0,2,20.2125,"S","no","married"
"256",1,"3","female",29,0,2,15.2458,"C","no","married"
"257",1,"1","female",27.4217391304348,0,0,79.2,"C","no","married"
"258",1,"1","female",30,0,0,86.5,"S","no","unmarried"
"260",1,"2","female",50,0,1,26,"S","no","married"
"261",0,"3","male",32.8644278606965,0,0,7.75,"Q","no","cant_say"
"262",1,"3","male",3,4,2,31.3875,"S","yes","unmarried"
"263",0,"1","male",52,1,1,79.65,"S","no","cant_say"
"264",0,"1","male",40,0,0,0,"S","no","cant_say"
"265",0,"3","female",27.4217391304348,0,0,7.75,"Q","no","unmarried"
"266",0,"2","male",36,0,0,10.5,"S","no","cant_say"
"267",0,"3","male",16,4,1,39.6875,"S","no","cant_say"
"268",1,"3","male",25,1,0,7.775,"S","no","cant_say"
"271",0,"1","male",32.8644278606965,0,0,31,"S","no","cant_say"
"272",1,"3","male",25,0,0,0,"S","no","cant_say"
"273",1,"2","female",41,0,1,19.5,"S","no","married"
"274",0,"1","male",37,0,1,29.7,"C","no","cant_say"
"275",1,"3","female",27.4217391304348,0,0,7.75,"Q","no","unmarried"
"276",1,"1","female",63,1,0,77.9583,"S","no","unmarried"
"277",0,"3","female",45,0,0,7.75,"S","no","unmarried"
"278",0,"2","male",32.8644278606965,0,0,0,"S","no","cant_say"
"279",0,"3","male",7,4,1,29.125,"Q","yes","unmarried"
"280",1,"3","female",35,1,1,20.25,"S","no","married"
"281",0,"3","male",65,0,0,7.75,"Q","no","cant_say"
"282",0,"3","male",28,0,0,7.8542,"S","no","cant_say"
"283",0,"3","male",16,0,0,9.5,"S","no","cant_say"
"284",1,"3","male",19,0,0,8.05,"S","no","cant_say"
"285",0,"1","male",32.8644278606965,0,0,26,"S","no","cant_say"
"286",0,"3","male",33,0,0,8.6625,"C","no","cant_say"
"287",1,"3","male",30,0,0,9.5,"S","no","cant_say"
"288",0,"3","male",22,0,0,7.8958,"S","no","cant_say"
"289",1,"2","male",42,0,0,13,"S","no","cant_say"
"290",1,"3","female",22,0,0,7.75,"Q","no","unmarried"
"291",1,"1","female",26,0,0,78.85,"S","no","unmarried"
"292",1,"1","female",19,1,0,91.0792,"C","no","married"
"293",0,"2","male",36,0,0,12.875,"C","no","cant_say"
"294",0,"3","female",24,0,0,8.85,"S","no","unmarried"
"295",0,"3","male",24,0,0,7.8958,"S","no","cant_say"
"296",0,"1","male",32.8644278606965,0,0,27.7208,"C","no","cant_say"
"297",0,"3","male",23.5,0,0,7.2292,"C","no","cant_say"
"299",1,"1","male",32.8644278606965,0,0,30.5,"S","no","cant_say"
"301",1,"3","female",27.4217391304348,0,0,7.75,"Q","no","unmarried"
"302",1,"3","male",32.8644278606965,2,0,23.25,"Q","no","cant_say"
"303",0,"3","male",19,0,0,0,"S","no","cant_say"
"304",1,"2","female",27.4217391304348,0,0,12.35,"Q","no","unmarried"
"305",0,"3","male",32.8644278606965,0,0,8.05,"S","no","cant_say"
"309",0,"2","male",30,1,0,24,"C","no","cant_say"
"310",1,"1","female",30,0,0,56.9292,"C","no","unmarried"
"311",1,"1","female",24,0,0,83.1583,"C","no","unmarried"
"313",0,"2","female",26,1,1,26,"S","no","married"
"314",0,"3","male",28,0,0,7.8958,"S","no","cant_say"
"315",0,"2","male",43,1,1,26.25,"S","no","cant_say"
"316",1,"3","female",26,0,0,7.8542,"S","no","unmarried"
"317",1,"2","female",24,1,0,26,"S","no","married"
"318",0,"2","male",54,0,0,14,"S","no","cant_say"
"321",0,"3","male",22,0,0,7.25,"S","no","cant_say"
"322",0,"3","male",27,0,0,7.8958,"S","no","cant_say"
"323",1,"2","female",30,0,0,12.35,"Q","no","unmarried"
"324",1,"2","female",22,1,1,29,"S","no","married"
"325",0,"3","male",32.8644278606965,8,2,69.55,"S","no","cant_say"
"327",0,"3","male",61,0,0,6.2375,"S","no","cant_say"
"328",1,"2","female",36,0,0,13,"S","no","married"
"329",1,"3","female",31,1,1,20.525,"S","no","married"
"330",1,"1","female",16,0,1,57.9792,"C","no","unmarried"
"331",1,"3","female",27.4217391304348,2,0,23.25,"Q","no","unmarried"
"332",0,"1","male",45.5,0,0,28.5,"S","no","cant_say"
"334",0,"3","male",16,2,0,18,"S","no","cant_say"
"336",0,"3","male",32.8644278606965,0,0,7.8958,"S","no","cant_say"
"337",0,"1","male",29,1,0,66.6,"S","no","cant_say"
"339",1,"3","male",45,0,0,8.05,"S","no","cant_say"
"340",0,"1","male",45,0,0,35.5,"S","no","cant_say"
"341",1,"2","male",2,1,1,26,"S","yes","unmarried"
"343",0,"2","male",28,0,0,13,"S","no","cant_say"
"344",0,"2","male",25,0,0,13,"S","no","cant_say"
"345",0,"2","male",36,0,0,13,"S","no","cant_say"
"346",1,"2","female",24,0,0,13,"S","no","unmarried"
"347",1,"2","female",40,0,0,13,"S","no","unmarried"
"348",1,"3","female",27.4217391304348,1,0,16.1,"S","no","married"
"349",1,"3","male",3,1,1,15.9,"S","yes","unmarried"
"350",0,"3","male",42,0,0,8.6625,"S","no","cant_say"
"351",0,"3","male",23,0,0,9.225,"S","no","cant_say"
"352",0,"1","male",32.8644278606965,0,0,35,"S","no","cant_say"
"353",0,"3","male",15,1,1,7.2292,"C","no","cant_say"
"354",0,"3","male",25,1,0,17.8,"S","no","cant_say"
"355",0,"3","male",32.8644278606965,0,0,7.225,"C","no","cant_say"
"356",0,"3","male",28,0,0,9.5,"S","no","cant_say"
"357",1,"1","female",22,0,1,55,"S","no","unmarried"
"358",0,"2","female",38,0,0,13,"S","no","unmarried"
"359",1,"3","female",27.4217391304348,0,0,7.8792,"Q","no","unmarried"
"360",1,"3","female",27.4217391304348,0,0,7.8792,"Q","no","unmarried"
"361",0,"3","male",40,1,4,27.9,"S","no","cant_say"
"362",0,"2","male",29,1,0,27.7208,"C","no","cant_say"
"363",0,"3","female",45,0,1,14.4542,"C","no","married"
"364",0,"3","male",35,0,0,7.05,"S","no","cant_say"
"365",0,"3","male",32.8644278606965,1,0,15.5,"Q","no","cant_say"
"366",0,"3","male",30,0,0,7.25,"S","no","cant_say"
"367",1,"1","female",60,1,0,75.25,"C","no","married"
"368",1,"3","female",27.4217391304348,0,0,7.2292,"C","no","married"
"369",1,"3","female",27.4217391304348,0,0,7.75,"Q","no","unmarried"
"370",1,"1","female",24,0,0,69.3,"C","no","cant_say"
"371",1,"1","male",25,1,0,55.4417,"C","no","cant_say"
"372",0,"3","male",18,1,0,6.4958,"S","no","cant_say"
"373",0,"3","male",19,0,0,8.05,"S","no","cant_say"
"375",0,"3","female",3,3,1,21.075,"S","no","unmarried"
"376",1,"1","female",27.4217391304348,1,0,82.1708,"C","no","married"
"377",1,"3","female",22,0,0,7.25,"S","no","unmarried"
"379",0,"3","male",20,0,0,4.0125,"C","no","cant_say"
"380",0,"3","male",19,0,0,7.775,"S","no","cant_say"
"382",1,"3","female",1,0,2,15.7417,"C","no","unmarried"
"383",0,"3","male",32,0,0,7.925,"S","no","cant_say"
"384",1,"1","female",35,1,0,52,"S","no","married"
"385",0,"3","male",32.8644278606965,0,0,7.8958,"S","no","cant_say"
"386",0,"2","male",18,0,0,73.5,"S","no","cant_say"
"387",0,"3","male",1,5,2,46.9,"S","yes","unmarried"
"388",1,"2","female",36,0,0,13,"S","no","unmarried"
"389",0,"3","male",32.8644278606965,0,0,7.7292,"Q","no","cant_say"
"390",1,"2","female",17,0,0,12,"C","no","unmarried"
"392",1,"3","male",21,0,0,7.7958,"S","no","cant_say"
"393",0,"3","male",28,2,0,7.925,"S","no","cant_say"
"395",1,"3","female",24,0,2,16.7,"S","no","married"
"396",0,"3","male",22,0,0,7.7958,"S","no","cant_say"
"397",0,"3","female",31,0,0,7.8542,"S","no","unmarried"
"398",0,"2","male",46,0,0,26,"S","no","cant_say"
"399",0,"2","male",23,0,0,10.5,"S","no","cant_say"
"400",1,"2","female",28,0,0,12.65,"S","no","married"
"401",1,"3","male",39,0,0,7.925,"S","no","cant_say"
"402",0,"3","male",26,0,0,8.05,"S","no","cant_say"
"403",0,"3","female",21,1,0,9.825,"S","no","unmarried"
"404",0,"3","male",28,1,0,15.85,"S","no","cant_say"
"405",0,"3","female",20,0,0,8.6625,"S","no","unmarried"
"406",0,"2","male",34,1,0,21,"S","no","cant_say"
"407",0,"3","male",51,0,0,7.75,"S","no","cant_say"
"408",1,"2","male",3,1,1,18.75,"S","yes","unmarried"
"409",0,"3","male",21,0,0,7.775,"S","no","cant_say"
"410",0,"3","female",27.4217391304348,3,1,25.4667,"S","no","unmarried"
"411",0,"3","male",32.8644278606965,0,0,7.8958,"S","no","cant_say"
"412",0,"3","male",32.8644278606965,0,0,6.8583,"Q","no","cant_say"
"413",1,"1","female",33,1,0,90,"Q","no","unmarried"
"414",0,"2","male",32.8644278606965,0,0,0,"S","no","cant_say"
"415",1,"3","male",44,0,0,7.925,"S","no","cant_say"
"416",0,"3","female",27.4217391304348,0,0,8.05,"S","no","married"
"417",1,"2","female",34,1,1,32.5,"S","no","married"
"418",1,"2","female",18,0,2,13,"S","no","unmarried"
"419",0,"2","male",30,0,0,13,"S","no","cant_say"
"420",0,"3","female",10,0,2,24.15,"S","no","unmarried"
"421",0,"3","male",32.8644278606965,0,0,7.8958,"C","no","cant_say"
"422",0,"3","male",21,0,0,7.7333,"Q","no","cant_say"
"423",0,"3","male",29,0,0,7.875,"S","no","cant_say"
"424",0,"3","female",28,1,1,14.4,"S","no","married"
"425",0,"3","male",18,1,1,20.2125,"S","no","cant_say"
"426",0,"3","male",32.8644278606965,0,0,7.25,"S","no","cant_say"
"427",1,"2","female",28,1,0,26,"S","no","married"
"428",1,"2","female",19,0,0,26,"S","no","unmarried"
"429",0,"3","male",32.8644278606965,0,0,7.75,"Q","no","cant_say"
"430",1,"3","male",32,0,0,8.05,"S","no","cant_say"
"431",1,"1","male",28,0,0,26.55,"S","no","cant_say"
"432",1,"3","female",27.4217391304348,1,0,16.1,"S","no","married"
"433",1,"2","female",42,1,0,26,"S","no","married"
"434",0,"3","male",17,0,0,7.125,"S","no","cant_say"
"435",0,"1","male",50,1,0,55.9,"S","no","cant_say"
"437",0,"3","female",21,2,2,34.375,"S","no","unmarried"
"438",1,"2","female",24,2,3,18.75,"S","no","married"
"440",0,"2","male",31,0,0,10.5,"S","no","cant_say"
"441",1,"2","female",45,1,1,26.25,"S","no","married"
"442",0,"3","male",20,0,0,9.5,"S","no","cant_say"
"443",0,"3","male",25,1,0,7.775,"S","no","cant_say"
"444",1,"2","female",28,0,0,13,"S","no","cant_say"
"445",1,"3","male",32.8644278606965,0,0,8.1125,"S","no","cant_say"
"446",1,"1","male",4,0,2,81.8583,"S","yes","unmarried"
"447",1,"2","female",13,0,1,19.5,"S","no","unmarried"
"448",1,"1","male",34,0,0,26.55,"S","no","cant_say"
"449",1,"3","female",5,2,1,19.2583,"C","no","unmarried"
"450",1,"1","male",52,0,0,30.5,"S","no","cant_say"
"451",0,"2","male",36,1,2,27.75,"S","no","cant_say"
"452",0,"3","male",32.8644278606965,1,0,19.9667,"S","no","cant_say"
"453",0,"1","male",30,0,0,27.75,"C","no","cant_say"
"454",1,"1","male",49,1,0,89.1042,"C","no","cant_say"
"455",0,"3","male",32.8644278606965,0,0,8.05,"S","no","cant_say"
"456",1,"3","male",29,0,0,7.8958,"C","no","cant_say"
"457",0,"1","male",65,0,0,26.55,"S","no","cant_say"
"458",1,"1","female",27.4217391304348,1,0,51.8625,"S","no","married"
"459",1,"2","female",50,0,0,10.5,"S","no","unmarried"
"460",0,"3","male",32.8644278606965,0,0,7.75,"Q","no","cant_say"
"461",1,"1","male",48,0,0,26.55,"S","no","cant_say"
"462",0,"3","male",34,0,0,8.05,"S","no","cant_say"
"463",0,"1","male",47,0,0,38.5,"S","no","cant_say"
